Item;Weight/Volume;Calories(kcal);Carbs(g);Fat(g);Protein(g);Sodium(mg);Sugar(g)
Feta;100g;267;0;23;17;1367;0
Sour cream;100g;208;7;20;2;102;7
Butter;100g;717;0;81;1;11;0
Cream cheese;100gram;282;7;25;7;441;4
Cheddar cheese;100g;404;3;33;23;653;0
Milch (3.5%);100ml;64;5;4;3;50;5
Sahne (30%);100ml;293;3;30;3;100;3
Mozzarella;100g;259;2;19;21;0;0
Gruyere;100g;428;0;35;30;328;0
Parmesan;100g;370;1;26;33;1900;0
Gouda;100g;373;0;31;24;84;0
Greek yogurt;100g;123;5;10;4;0;0
Yogurt;100g;95;6;5;6;0;1
Marscapone;100g;412;5;42;4;0;5
Hüttenkäse;100g;91;2;4;12;0;2
Ricotta;100gramm;126;3;9;8;0;0
Maasdammer;100gramm;348;0;27;25;0;0
Swiss Emmentaler;100g;355;0;27;28;1;0
Mayonnaise;100g;680;1;75;1;635;1
Halloumi;100g;313;1;25;22;0;1
Half-n-half;100g;123;5;10;3;61;4